EventNameEnglish,EventNameFrench,IsGeneralElection,ElectoralDistrictNumber,ElectoralDistrictNameEnglish,ElectoralDistrictNameFrench,ReturningOfficerName,ReturningOfficeCity,PollingDate,ResignedMPPName,NameOfCandidates,PoliticalInterestCode,TotalValidBallotsCast,PercentOfTotalValidBallotsCast,Plurality,IsMemberOfPreviousLegislature
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,009,Brampton East,Brampton-Est,AMANPREET WARAICH,BRAMPTON,2022-Jun-02,Gurratan Singh,MICHAEL BAYER,NBO,295,0.01015980162556826,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,071,Nickel Belt,Nickel Belt,PAULINE RENAUD,GREATER SUDBURY,2022-Jun-02,France Gélinas,WILLY SCHNEIDER,ONP,470,0.01528604416691059,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,079,Ottawa South,Ottawa-Sud,SUSAN DENNISON,OTTAWA,2022-Jun-02,John Fraser,JOHN FRASER,LIB,18282,0.45140740740740740,8663,1
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,044,Kenora—Rainy River,Kenora—Rainy River,JAYE WESLEY,KENORA,2022-Jun-02,Greg Rickford,JOANNE FORMANEK GUSTAFSON,NDP,3199,0.19920293916184071,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,037,Hamilton East—Stoney Creek,Hamilton-Est—Stoney Creek,CATHERINE COUSINS,HAMILTON,2022-Jun-02,Paul Miller,DOMENIC DILUCA,ONP,1052,0.02991525905704373,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,051,Lanark—Frontenac—Kingston,Lanark—Frontenac—Kingston,CHERYL BIRD,SMITHS FALLS,2022-Jun-02,Randy Hillier,DREW CUMPSON,NDP,9146,0.20699332352608351,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,054,London North Centre,London-Centre-Nord,EDWARD THOMPSON,LONDON,2022-Jun-02,Terence Devin Kernaghan,JERRY PRIBIL,PCP,13051,0.30291284669838690,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,062,Mississauga—Erin Mills,Mississauga—Erin Mills,MONICA KEFENTSE,MISSISSAUGA,2022-Jun-02,Sheref Sabawy,MICHELLE ANGKASA,GPO,1594,0.04280918490667382,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,070,Niagara West,Niagara-Ouest,ROBERT CIARLO,WEST LINCOLN,2022-Jun-02,Sam Oosterhoff,CHRIS ARNEW,NBO,1098,0.02627045650301464,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,113,Vaughan—Woodbridge,Vaughan—Woodbridge,MAYA KRYMCHAKOVA,VAUGHAN,2022-Jun-02,Michael Tibollo,STEVEN DEL DUCA,LIB,12615,0.35082596362422826,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,073,Northumberland—Peterborough South,Northumberland—Peterborough-Sud,ANN MACDONALD,COBOURG,2022-Jun-02,David Piccini,VANESSA HEAD,ONP,1598,0.03080719477164504,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,109,Toronto Centre,Toronto-Centre,CAROLYN MCGILL STROBEL,TORONTO,2022-Jun-02,Suze Morrison,JENNIFER SNELL,SNS,105,0.00300678674722946,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,049,Kitchener South—Hespeler,Kitchener-Sud—Hespeler,CHRISTOPHER GRAVES,KITCHENER,2022-Jun-02,Amy Fee,ISMAIL MOHAMED,LIB,5629,0.16317833951762523,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,101,Spadina—Fort York,Spadina—Fort York,KHADIJAH SULEMAN,TORONTO,2022-Jun-02,Chris Glover,ANGELA ASHER,NBO,581,0.01716040995953569,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,102,Stormont—Dundas—South Glengarry,Stormont—Dundas—South Glengarry,ALLEN FOURNIER,CORNWALL,2022-Jun-02,Jim McDonell,JACQUELINE MILNER,GPO,1477,0.04089826660021044,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,120,York Centre,York-Centre,SUZY LAREDO,TORONTO,2022-Jun-02,Roman Baber,DON PINCIVERO,NBO,411,0.01461177474402730,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,121,York—Simcoe,York—Simcoe,NINA WILLCOCKS,EAST GWILLIMBURY,2022-Jun-02,Caroline Mulroney,JULIE STEWART,GPO,2691,0.07346838484219722,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,038,Hamilton Mountain,Hamilton Mountain,JIM NELSON,HAMILTON,2022-Jun-02,Monique Taylor,CHANTALE LACHANCE,LIB,5300,0.15572662631486160,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,090,St. Catharines,St. Catharines,JOSEPH HENRIQUES,ST. CATHARINES,2022-Jun-02,Jennie Stevens,RYAN MADILL,LIB,7175,0.16633438427299703,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,042,Huron—Bruce,Huron—Bruce,JACQUIE BISHOP,HURON EAST,2022-Jun-02,Lisa Thompson,RONALD STEPHENS,IND,212,0.00452102704085984,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,019,Davenport,Davenport,ROCCO D'AMICO,TORONTO,2022-Jun-02,Marit Stiles,SIMON FOGEL,IND,77,0.00217066501282665,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,060,Mississauga Centre,Mississauga-Centre,SHALINI ALLELUIA,MISSISSAUGA,2022-Jun-02,Natalia Kusendova,STEPHANIE WRIGHT,ONP,332,0.00983470584750281,0,0
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,1,039,Hamilton West—Ancaster—Dundas,Hamilton-Ouest—Ancaster—Dundas,WARREN ODA,HAMILTON,2022-Jun-02,Sandy Shaw,SANDY SHAW,NDP,18197,0.40422507052891130,3345,1
