"","district","party","votes","votes_pct","province"
"222","Saanich North and the Islands","BCU",6547,19.0131846430853,"BC"
"223","Saanich North and the Islands","NDP(BC)",9990,29.0120230005227,"BC"
"224","Saanich South","BCG",5488,20.1128783991791,"BC"
"225","Saanich South","BCU",6608,24.217547460236,"BC"
"226","Saanich South","NDP(BC)",15190,55.6695741405849,"BC"
"227","Shuswap","BCG",3784,14.6100386100386,"BC"
"228","Shuswap","BCU",13300,51.3513513513513,"BC"
"229","Shuswap","NDP(BC)",8816,34.03861003861,"BC"
"230","Skeena","BCU",5810,52.0609318996416,"BC"
"231","Skeena","NDP(BC)",4961,44.4534050179211,"BC"
"232","Skeena",NA,389,3.48566308243728,"BC"
"233","Stikine","BCU",1904,26.3201548244401,"BC"
"234","Stikine","NDP(BC)",3745,51.7694221730716,"BC"
"235","Stikine",NA,831,11.4874205142383,"BC"
"236","Stikine",NA,754,10.4230024882499,"BC"
"237","Surrey South","BCG",2623,9.57753678752693,"BC"
"238","Surrey South","BCU",12970,47.3582356592544,"BC"
"239","Surrey South","NDP(BC)",11794,43.0642275532187,"BC"
"240","Surrey-Cloverdale","BCG",2169,8.69861640264688,"BC"
"241","Surrey-Cloverdale","BCU",8758,35.1233206336475,"BC"
"242","Surrey-Cloverdale","NDP(BC)",12992,52.1034690194506,"BC"
"243","Surrey-Cloverdale","BCC",867,3.47704030479246,"BC"
"244","Surrey-Cloverdale",NA,149,0.597553639462603,"BC"
"245","Surrey-Fleetwood","BCG",1571,8.35460540310572,"BC"
"246","Surrey-Fleetwood","BCU",5776,30.7168687513295,"BC"
"247","Surrey-Fleetwood","NDP(BC)",11457,60.9285258455648,"BC"
"248","Surrey-Green Timbers","BCU",5540,40.4055138210196,"BC"
"249","Surrey-Green Timbers","NDP(BC)",8171,59.5944861789804,"BC"
"250","Surrey-Guildford","BCG",1345,7.83388665618266,"BC"
